#separator:tab
#html:false
abound		exist in large numbers or amounts.	1) a business in which opportunities abound   2) errors and inconsistencies abound	proliferate, plentiful, copious, ample, brim, bristle, bulge, burst, bustle, buzz, crawl, hum,
lavish		bestow something in generous or extravagant quantities on.	The media couldn't lavish enough praise on the film.	baroque, devilish, excessive, exorbitant, extravagant, luxurious, sumptuous, extreme, fancy, immoderate,
conducive		making a certain situation or outcome more likely to happen or more possible	1) an atmosphere conducive to education	favourable, benificial, valuable, advantageous, opportune, propitous, promising, convenient
equanimity	equal mind = balanced mind	calmness and composure, especially in a difficult situation.	1) nothing could disturb his equanimity	aplomb, calmness, composure, phelgm, tranquil, serenity, poise, collectedness, composedness, composure, cool, coolness, countenance,
supplant	We need to substitute the plant because the others are superseding it.	supersede and replace.	DVDs have supplanted videos.	replace, supersede, displace, override, oust, overthrow, displant, relieve, replace, substitute
lampoon	Now lamps don't need spoons of oil. If you do that people will ridicule you.	publicly criticize (someone or something) by using ridicule, irony, or sarcasm.	he was mercilessly lampooned for his absurd getups.	satirize, mock, ridicule, caicaure, burlesque, parody
bombastic	These bombs are showy: their dramatic explosions are inflated.	high-sounding but with little meaning; inflated.	bombastic music that drowned out what anyone was saying.	pompous, blustering, ranting, blathering, orotund, flatulent, fustian, gaseous, gassy, grandiloquent, oratorical,
lambaste	Lam bashed the subordinates for being incompent.	criticize (someone or something) harshly.	1) The coach lambasted the team for its poor play.   2) They wrote several letters lambasting the new law.	criticize, castigate, chastice, censure, condemn, baste, bawl out, berate, call down, chastise, chew out, dress down,
undercut	My undercut is charged less than other competitors. This barber want to weaken their competition	1. offer goods or services at a lower price than (a competitor). 2. cut or wear away the part below or under (something, especially a cliff). 3. weaken; undermine.	English cloth manufacturers were able to undercut their continental rivals. The company denied that his authority was being undercut.	charge less than, charge a lower price than, undersell, underbid  undermine, weaken, impair, damage, sap, threaten, subvert, sabotage, ruin, disrupt, undo, destabilize, demolish, wreck, destroy, chip away
euphemism	From Greek eu (well) + phēmē (speaking). Euphemisms are like euphoric phemes (=words) that soften bluntness or hard truths.	a mild or indirect word or expression substituted for one considered to be too harsh or blunt when referring to something unpleasant or embarrassing./polite term	using ‘eliminate’ as a euphemism for ‘kill’	substitute, polite, code word, genteelism, nice-nellyism, expression, idiom, phrase, archaism, colloquialism,
turpitude	Behind that turbulent attitude of the villain was full of wickedness.	depraved or wicked behavior or character.	1) moral turpitude	wickedness, immorality, abjection, corruption, corruptness, debasement, debauchery, decadence, decadency, degeneracy,
peccadillo		a relatively minor fault or sin.	1) The movie star's peccadilloes made tabloid headlines.	misdemeanour, misdeed, error, fault, foible, breach, crime, debt, lawbreaking, malefaction,
antagonize		cause (someone) to become hostile.	1) His criticism antagonized his friends.	alienate, estrange,  anger, annoy, provoke, vex, irritate, offend, aggravate, embitter, empoison, envenom,
barren	Bare fields stretch out but nothing seems to grow. So lifeless.	1. (of land) too poor to produce much or any vegetation. 2. (of a place or building) bleak and lifeless.	the barren, burnt-up countryside a barren exchange of courtesies.	unproductive, infertile, unfruitful, sterile, arid, desert, waste, desolate, uncultivatablepointless, futile, worthless, profitless, valueless, unrewarding, purposeless, useless, vain, aimless
philistine	That pristine man was so uncultured that he thought the Philistines would enjoy his crude art.	a person who is hostile or indifferent to culture and the arts.	I am a complete philistine when it comes to paintings.	lowbrow, materialist, boor, tasteless, uncultured, barbaric,
relegate	She felt like she was downgraded to the low gate of the office	assign an inferior rank or position to.	They aim to prevent women from being relegated to a secondary role.	downgrade, putdown, consign, degrade, declass banish, deport, displace, exile, expatriate, transport,
dirge	Dire news came with a lament for the mourning crowd	a lament for the dead, especially one forming part of a funeral rite.	a funeral dirge	elegy, lament, requiem, threnody, monody
imperturbable	im + perturb + able (unshakable). Nothing could disturb her so she remained unshakable and calm	unable to be upset or excited; calm.	1) Although he seems outwardly imperturbable, he can get very angry at times.   2) an imperturbable demeanor/disposition	composed, calm, nerveless, unflappable, unshakable, placid, tranquil, serene
excoriate	From Latin ex- (out, off) + corium (skin). Excoriating him for such a small mistake is no different from peeling off his skin for a minor scratch.	criticize (someone) severely.remove part of the surface of (the skin).	1) He was excoriated as a racist.   2) The candidates have publicly excoriated each other throughout the campaign.	criticize, censure, condemn, assail, attack, bash, belabor, blast, castigate, jump (on),abrade, abuse, scrape
curmudgeon	A curmudgeon is likely to CURse you, throw MUD on your face and then lock you in a dunGEON.	a bad-tempered person, especially an old one.	1) a lonely old curmudgeon	crank, bear, bellyacher, complainer, crab, crank, croaker, crosspatch, fusser,
swindle		use deception to deprive (someone) of money or possessions.		defraud, deceit, exploit, fleece, dupe, delude, bunco, con, fiddle, flimflam, fraud, gyp, hustle, scam,
wheedle	The weasel tried to coax the farmer to give it some cheese	use flattery or coaxing in order to persuade someone to do something or give one something.	1) He wheedled quite a bit of money from her.   2) We managed to wheedle the juicy details out of him.	coax, cajole, inveigle, lure, induce, entice, beguile, flatter, blandish, blarney, palaver, soft-soap, sweet-talk,
sentimental		of or prompted by feelings of tenderness, sadness, or nostalgia.	1) He has a sentimental attachment to his old high school.   2) She saved her wedding gown for sentimental reasons.   3) He has sentimental ideas about the past.	nostalgic, tender, emotional, affectionate, mawkish, cloying, chocolate-box, cloying, corny, drippy, fruity, gooey, lovey-dovey, maudlin,
miscreant	That miss commits crimes	a person who has done something wrong or unlawful.	The principal took the miscreant out of my classroom and placed him in the in-school suspension room.The church installed cameras outside in hopes of catching the miscreant who was vandalizing the building.	criminal, culprit, malefactor, offender, convict, outlaw, baddie, beast, brute, caitiff, devil, evildoer, fiend, heavy,
implacable	im + placate + able	unable to be appeased or placated.	he was their most implacable critic.	unappeasable, unsparing, intransigent, adamant, determined, ruthless, relentless, bullheaded, dogged, hard, hard-nosed, hardened, hardheaded,
haughty	The hot tea spilled over her snobbish and arrogant demeanor	arrogantly superior and disdainful.	Some aristocrats feigned smiles, others looked away with haughty contempt	arrogant, snobbish, pompous, egoistical, supercilious, condescending, scornful, assumptive, bumptious, cavalier, chesty, high-and-mighty, high-handed, high-hat,
